# Temperature (K)	Pressure (MPa)	Experimental(uPas)	NIST(uPas)	Model(uPas)
1.800000000000000000e+02	2.962000000000000099e+01	5.806000000000000227e+01	5.842900000000000205e+01	1.007647937493022994e+02
1.800000000000000000e+02	2.608999999999999986e+01	5.535000000000000142e+01	5.589759999999999707e+01	9.129728827705699246e+01
1.800000000000000000e+02	2.255999999999999872e+01	5.290999999999999659e+01	5.321079999999999899e+01	8.162882901562454663e+01
1.800000000000000000e+02	1.894000000000000128e+01	5.000000000000000000e+01	5.025289999999999679e+01	7.091564538378773364e+01
1.800000000000000000e+02	1.800000000000000000e+01	4.904999999999999716e+01	4.944409999999999883e+01	6.847957055532410209e+01
1.800000000000000000e+02	1.552999999999999936e+01	4.734000000000000341e+01	4.722120000000000317e+01	6.175087761587133173e+01
1.800000000000000000e+02	1.435999999999999943e+01	4.607000000000000028e+01	4.611099999999999710e+01	5.821817399012621763e+01
1.800000000000000000e+02	1.097000000000000064e+01	4.277000000000000313e+01	4.262120000000000175e+01	4.944862575254938974e+01
1.800000000000000000e+02	6.679999999999999716e+00	3.764000000000000057e+01	3.726039999999999708e+01	3.686615297797962398e+01
1.800000000000000000e+02	4.730000000000000426e+00	3.446999999999999886e+01	3.408630000000000138e+01	3.194265878719704688e+01
1.800000000000000000e+02	3.529999999999999805e+00	3.178000000000000114e+01	3.153209999999999980e+01	2.840151628671600292e+01
1.700000000000000000e+02	3.135999999999999943e+01	6.587000000000000455e+01	6.653730000000000189e+01	1.207763555798363768e+02
1.700000000000000000e+02	2.801000000000000156e+01	6.350000000000000000e+01	6.414589999999999748e+01	1.101795024376405081e+02
1.700000000000000000e+02	2.462999999999999901e+01	6.125999999999999801e+01	6.161520000000000152e+01	9.996449919110710880e+01
1.700000000000000000e+02	2.144000000000000128e+01	5.820000000000000284e+01	5.909870000000000090e+01	9.129066620473935245e+01
1.700000000000000000e+02	1.778000000000000114e+01	5.565999999999999659e+01	5.602499999999999858e+01	8.137277047454918488e+01
1.700000000000000000e+02	1.476999999999999957e+01	5.331000000000000227e+01	5.331150000000000233e+01	7.299677558169489089e+01
1.700000000000000000e+02	1.465000000000000036e+01	5.325999999999999801e+01	5.319919999999999760e+01	7.267228075768349527e+01
1.700000000000000000e+02	1.161999999999999922e+01	5.025999999999999801e+01	5.023890000000000100e+01	6.466293066541052781e+01
1.700000000000000000e+02	8.589999999999999858e+00	4.707000000000000028e+01	4.697910000000000252e+01	5.618795434408656320e+01
1.700000000000000000e+02	5.919999999999999929e+00	4.364999999999999858e+01	4.374649999999999750e+01	4.879837457597807315e+01
1.700000000000000000e+02	3.209999999999999964e+00	4.024000000000000199e+01	3.989419999999999789e+01	4.127611887766968835e+01
1.400000000000000000e+02	3.217000000000000171e+01	9.731999999999999318e+01	9.864570000000000505e+01	1.652876353122135242e+02
1.400000000000000000e+02	2.869000000000000128e+01	9.395000000000000284e+01	9.579210000000000491e+01	1.554918098090709293e+02
1.400000000000000000e+02	2.551000000000000156e+01	9.109999999999999432e+01	9.309550000000000125e+01	1.466986498619737915e+02
1.400000000000000000e+02	2.198000000000000043e+01	8.846999999999999886e+01	8.999020000000000152e+01	1.369843128218640231e+02
1.400000000000000000e+02	1.837000000000000099e+01	8.503000000000000114e+01	8.667589999999999861e+01	1.273601883726777260e+02
1.400000000000000000e+02	1.671000000000000085e+01	8.260999999999999943e+01	8.509919999999999618e+01	1.231142177217259359e+02
1.400000000000000000e+02	1.482000000000000028e+01	8.170000000000000284e+01	8.325910000000000366e+01	1.174827737327929640e+02
