# Temperature (K)	Pressure (MPa)	Experimental(K/MPa)	NIST(K/MPa)	Model(K/MPa)
2.931499999999999773e+02	1.723999999999999977e+00	4.200000000000000178e+00	4.435270000000000046e+00	3.789918038462610550e+00
2.931499999999999773e+02	3.447000000000000064e+00	4.200000000000000178e+00	4.300460000000000171e+00	3.904544215760050729e+00
3.109300000000000068e+02	1.723999999999999977e+00	3.700000000000000178e+00	3.910050000000000026e+00	4.000461625022411205e+00
3.109300000000000068e+02	3.447000000000000064e+00	3.709999999999999964e+00	3.783090000000000064e+00	3.922732601889060700e+00
3.271499999999999773e+02	1.723999999999999977e+00	3.290000000000000036e+00	3.495490000000000208e+00	4.078834377007209078e+00
3.271499999999999773e+02	3.447000000000000064e+00	3.299999999999999822e+00	3.377130000000000187e+00	4.046923716197246002e+00
3.421499999999999773e+02	1.723999999999999977e+00	2.950000000000000178e+00	3.157939999999999969e+00	4.272255453564144823e+00
3.421499999999999773e+02	3.447000000000000064e+00	2.950000000000000178e+00	3.047839999999999883e+00	5.423645612770392255e+00
3.661499999999999773e+02	1.723999999999999977e+00	2.640000000000000124e+00	2.694090000000000096e+00	5.836801719315904080e+00
3.661499999999999773e+02	3.447000000000000064e+00	2.649999999999999911e+00	2.596820000000000128e+00	5.109213358109870207e+00
3.931499999999999773e+02	1.723999999999999977e+00	2.370000000000000107e+00	2.263749999999999929e+00	5.489669564909441135e+00
3.931499999999999773e+02	3.447000000000000064e+00	2.379999999999999893e+00	2.179549999999999876e+00	4.996201809220063517e+00
3.118600000000000136e+02	2.024999999999999911e+00	3.799999999999999822e+00	3.864390000000000214e+00	3.963429316057673013e+00
3.118600000000000136e+02	3.040000000000000036e+00	3.850000000000000089e+00	3.790389999999999926e+00	1.321881998013244353e+00
3.118600000000000136e+02	4.054999999999999716e+00	3.919999999999999929e+00	3.707430000000000003e+00	1.306516061146566710e+00
2.680000000000000000e+02	2.024999999999999911e+00	5.250000000000000000e+00	5.320400000000000240e+00	-4.114962318873986113e+00
2.680000000000000000e+02	3.040000000000000036e+00	5.419999999999999929e+00	5.240549999999999820e+00	-4.107663432638420709e+00
2.680000000000000000e+02	4.054999999999999716e+00	5.580000000000000071e+00	5.136899999999999800e+00	3.241259294741044794e+00
2.485399999999999920e+02	2.024999999999999911e+00	6.169999999999999929e+00	6.201590000000000380e+00	2.998488330765388010e+00
2.485399999999999920e+02	3.040000000000000036e+00	6.500000000000000000e+00	6.130399999999999849e+00	3.732189926372523558e+00
2.485399999999999920e+02	4.054999999999999716e+00	6.750000000000000000e+00	6.019879999999999676e+00	3.708559457633817225e+00
