# Temperature (K)	Pressure (MPa)	Experimental(m/s)	NIST(m/s)	Model(m/s)
2.981499999999999773e+02	2.379999999999999893e+00	4.419300000000000068e+02	4.420120000000000005e+02	4.397053665634241497e+02
1.930500000000000114e+02	7.800000000000000266e-01	3.531999999999999886e+02	3.532590000000000146e+02	3.407124328369772570e+02
1.930500000000000114e+02	1.560000000000000053e+00	3.406399999999999864e+02	3.407180000000000177e+02	3.400177856178380011e+02
1.930500000000000114e+02	2.240000000000000213e+00	3.286899999999999977e+02	3.288199999999999932e+02	3.400177856178380011e+02
1.930500000000000114e+02	2.819999999999999840e+00	3.177099999999999795e+02	3.177429999999999950e+02	3.632714059765751244e+02
1.930500000000000114e+02	3.310000000000000053e+00	3.075199999999999818e+02	3.074820000000000277e+02	3.162017059352421597e+02
1.930500000000000114e+02	3.700000000000000178e+00	2.982699999999999818e+02	2.984719999999999800e+02	3.021699329383332042e+02
1.930500000000000114e+02	4.030000000000000249e+00	2.899200000000000159e+02	2.899460000000000264e+02	2.596194122023321711e+02
1.930500000000000114e+02	4.280000000000000249e+00	2.823899999999999864e+02	2.825749999999999886e+02	2.529929724294589164e+02
1.930500000000000114e+02	4.480000000000000426e+00	2.756499999999999773e+02	2.756630000000000109e+02	2.465149841727666740e+02
1.908499999999999943e+02	4.530000000000000249e+00	2.561200000000000045e+02	2.568170000000000073e+02	2.413148407914972040e+02
1.906299999999999955e+02	4.509999999999999787e+00	2.552400000000000091e+02	2.560539999999999736e+02	2.413148407914972040e+02
1.905600000000000023e+02	4.509999999999999787e+00	2.549600000000000080e+02	2.551419999999999959e+02	2.413148407914972040e+02
1.905000000000000000e+02	7.700000000000000178e-01	3.505199999999999818e+02	3.505559999999999832e+02	3.407124328369772570e+02
1.905000000000000000e+02	1.540000000000000036e+00	3.376000000000000227e+02	3.375799999999999841e+02	3.400177856178380011e+02
1.905000000000000000e+02	2.200000000000000178e+00	3.252699999999999818e+02	3.253670000000000186e+02	3.400177856178380011e+02
1.905000000000000000e+02	2.759999999999999787e+00	3.138799999999999955e+02	3.139270000000000209e+02	3.632714059765751244e+02
1.905000000000000000e+02	3.229999999999999982e+00	3.032200000000000273e+02	3.032320000000000277e+02	3.314360851324171335e+02
1.905000000000000000e+02	3.600000000000000089e+00	2.935500000000000114e+02	2.937280000000000086e+02	3.245537024643818995e+02
1.905000000000000000e+02	3.899999999999999911e+00	2.846700000000000159e+02	2.848349999999999795e+02	2.981688853530833399e+02
1.905000000000000000e+02	4.129999999999999893e+00	2.765199999999999818e+02	2.766879999999999882e+02	2.596194122023321711e+02
1.905000000000000000e+02	4.299999999999999822e+00	2.690000000000000000e+02	2.691630000000000109e+02	2.518929483109468492e+02
1.905000000000000000e+02	4.419999999999999929e+00	2.617200000000000273e+02	2.621299999999999955e+02	2.518929483109468492e+02
1.905000000000000000e+02	4.500000000000000000e+00	2.546999999999999886e+02	2.554089999999999918e+02	2.413148407914972040e+02
1.904300000000000068e+02	4.490000000000000213e+00	2.544199999999999875e+02	2.555449999999999875e+02	2.465149841727666740e+02
1.904300000000000068e+02	4.540000000000000036e+00	2.461100000000000136e+02	2.487510000000000048e+02	2.413148407914972040e+02
