# Temperature (K)	Pressure (MPa)	Experimental(J/mol*K)	NIST(J/mol*K)	Model(J/mol*K)
2.009399999999999977e+02	6.490000000000000213e+00	3.461999999999999744e+01	3.379780000000000229e+01	3.640685000000000571e+01
2.026100000000000136e+02	6.799999999999999822e+00	3.407999999999999829e+01	3.326809999999999690e+01	3.473358727272728430e+01
2.051200000000000045e+02	7.259999999999999787e+00	3.336999999999999744e+01	3.260669999999999646e+01	3.280388367965367991e+01
2.084699999999999989e+02	7.889999999999999680e+00	3.275000000000000000e+01	3.188530000000000086e+01	3.241436844155843744e+01
2.126999999999999886e+02	8.689999999999999503e+00	3.213000000000000256e+01	3.122800000000000153e+01	3.166886150183150761e+01
2.177800000000000011e+02	9.650000000000000355e+00	3.167000000000000171e+01	3.069180000000000064e+01	3.108369761904761219e+01
1.909600000000000080e+02	4.669999999999999929e+00	5.245000000000000284e+01	4.464370000000000260e+01	3.454991666666666106e+01
1.924900000000000091e+02	4.940000000000000391e+00	4.075999999999999801e+01	4.016299999999999670e+01	3.486501666666666210e+01
1.940900000000000034e+02	5.230000000000000426e+00	3.843999999999999773e+01	3.773720000000000141e+01	3.609329999999998506e+01
1.957100000000000080e+02	5.519999999999999574e+00	3.710999999999999943e+01	3.633970000000000056e+01	3.720262666666665297e+01
1.972800000000000011e+02	5.809999999999999609e+00	3.602000000000000313e+01	3.534049999999999869e+01	3.644451000000001528e+01
1.989099999999999966e+02	6.110000000000000320e+00	3.527000000000000313e+01	3.457889999999999731e+01	3.490351666666666119e+01
2.005600000000000023e+02	6.419999999999999929e+00	3.471000000000000085e+01	3.392730000000000246e+01	3.580806666666666160e+01
2.022199999999999989e+02	6.719999999999999751e+00	3.403000000000000114e+01	3.340840000000000032e+01	3.467393393939394741e+01
2.047199999999999989e+02	7.190000000000000391e+00	3.346999999999999886e+01	3.269700000000000273e+01	3.280242034632035342e+01
2.080900000000000034e+02	7.820000000000000284e+00	3.282999999999999829e+01	3.195499999999999829e+01	3.247423510822510906e+01
2.123300000000000125e+02	8.619999999999999218e+00	3.220000000000000284e+01	3.127629999999999910e+01	3.177467816849816629e+01
2.003400000000000034e+02	5.690000000000000391e+00	3.535000000000000142e+01	3.500019999999999953e+01	3.682806000000000779e+01
2.013400000000000034e+02	5.799999999999999822e+00	3.500000000000000000e+01	3.456340000000000146e+01	3.674673666666669192e+01
2.078499999999999943e+02	6.519999999999999574e+00	3.314999999999999858e+01	3.253419999999999845e+01	3.567905095238096891e+01
2.081699999999999875e+02	6.559999999999999609e+00	3.314000000000000057e+01	3.246739999999999782e+01	3.554580095238096504e+01
2.154000000000000057e+02	7.349999999999999645e+00	3.173000000000000043e+01	3.124220000000000041e+01	3.278268882783882532e+01
2.229399999999999977e+02	8.160000000000000142e+00	3.105000000000000071e+01	3.049510000000000076e+01	3.198628857142856319e+01
2.229900000000000091e+02	8.169999999999999929e+00	3.105999999999999872e+01	3.049269999999999925e+01	3.197740857142856541e+01
2.303700000000000045e+02	8.960000000000000853e+00	3.069999999999999929e+01	3.002319999999999922e+01	3.127937666666666416e+01
2.304499999999999886e+02	8.970000000000000639e+00	3.044999999999999929e+01	3.001930000000000121e+01	3.127937666666666416e+01
2.375300000000000011e+02	9.720000000000000639e+00	3.042000000000000171e+01	2.970850000000000080e+01	3.083667666666666562e+01
2.381299999999999955e+02	9.789999999999999147e+00	3.019999999999999929e+01	2.968799999999999883e+01	3.077897666666666154e+01
