# Temperature (K)	Pressure (MPa)	Experimental(m/s)	NIST(m/s)	Model(m/s)
1.908499999999999943e+02	4.589999999999999858e+00	2.485999999999999943e+02	2.492189999999999941e+02	4.613015018724745460e+02
1.908499999999999943e+02	4.620000000000000107e+00	2.397899999999999920e+02	2.410289999999999964e+02	4.621207326635797585e+02
1.908499999999999943e+02	4.629999999999999893e+00	2.288700000000000045e+02	2.346479999999999961e+02	4.623938095939480490e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.157700000000000102e+02	2.133870000000000005e+02	4.626668865243165101e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.050600000000000023e+02	2.133870000000000005e+02	4.626668865243165101e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.044399999999999977e+02	2.133870000000000005e+02	4.626668865243165101e+02
1.908499999999999943e+02	4.639999999999999680e+00	2.050900000000000034e+02	2.133870000000000005e+02	4.626668865243165101e+02
1.908499999999999943e+02	4.650000000000000355e+00	2.128799999999999955e+02	2.324900000000000091e+02	4.629399634546848006e+02
1.908499999999999943e+02	4.650000000000000355e+00	2.258700000000000045e+02	2.324900000000000091e+02	4.629399634546848006e+02
1.906299999999999955e+02	4.559999999999999609e+00	2.473499999999999943e+02	2.496289999999999907e+02	4.630925714542407832e+02
1.906299999999999955e+02	4.610000000000000320e+00	2.040900000000000034e+02	2.134199999999999875e+02	4.644579561060828610e+02
1.906299999999999955e+02	4.610000000000000320e+00	1.912599999999999909e+02	2.134199999999999875e+02	4.644579561060828610e+02
1.906299999999999955e+02	4.610000000000000320e+00	1.951599999999999966e+02	2.134199999999999875e+02	4.644579561060828610e+02
1.906299999999999955e+02	4.610000000000000320e+00	1.955399999999999920e+02	2.134199999999999875e+02	4.644579561060828610e+02
1.906299999999999955e+02	4.610000000000000320e+00	2.058700000000000045e+02	2.134199999999999875e+02	4.644579561060828610e+02
1.906299999999999955e+02	4.610000000000000320e+00	2.190500000000000114e+02	2.134199999999999875e+02	4.644579561060828610e+02
1.905600000000000023e+02	4.559999999999999609e+00	2.469300000000000068e+02	2.479869999999999948e+02	4.639231215728817119e+02
1.905600000000000023e+02	4.580000000000000071e+00	2.369600000000000080e+02	2.424559999999999889e+02	4.644692754336185772e+02
1.905000000000000000e+02	4.549999999999999822e+00	2.465699999999999932e+02	2.484960000000000093e+02	4.643619447442055730e+02
1.905000000000000000e+02	4.580000000000000071e+00	2.362899999999999920e+02	2.387239999999999895e+02	4.651811755353108992e+02
1.904300000000000068e+02	4.570000000000000284e+00	2.355200000000000102e+02	2.394970000000000141e+02	4.657386487235833670e+02
1.904300000000000068e+02	4.580000000000000071e+00	2.183000000000000114e+02	2.207160000000000082e+02	4.660117256539519417e+02
1.902500000000000000e+02	4.549999999999999822e+00	2.332299999999999898e+02	2.379230000000000018e+02	4.673281951679232407e+02
1.904300000000000068e+02	4.580000000000000071e+00	2.068300000000000125e+02	2.207160000000000082e+02	4.660117256539519417e+02
1.903700000000000045e+02	4.570000000000000284e+00	2.157700000000000102e+02	2.322050000000000125e+02	4.664505488252757459e+02
1.903499999999999943e+02	4.570000000000000284e+00	2.155900000000000034e+02	2.328830000000000098e+02	4.666878488591730161e+02
1.902500000000000000e+02	4.559999999999999609e+00	2.208300000000000125e+02	2.478549999999999898e+02	4.676012720982917017e+02
1.895000000000000000e+02	4.450000000000000178e+00	2.392899999999999920e+02	2.755649999999999977e+02	4.738260157443770595e+02
1.894000000000000057e+02	4.440000000000000391e+00	2.391100000000000136e+02	2.824959999999999809e+02	4.747880238283689778e+02
1.881500000000000057e+02	4.269999999999999574e+00	2.482299999999999898e+02	3.222629999999999768e+02	4.856140104288547263e+02
1.859000000000000057e+02	3.970000000000000195e+00	2.560000000000000000e+02	2.565160000000000196e+02	5.057472373665953569e+02
1.815500000000000114e+02	3.450000000000000178e+00	2.647400000000000091e+02	2.642629999999999768e+02	5.471418829717351855e+02
1.813000000000000114e+02	3.430000000000000160e+00	2.647799999999999727e+02	4.733910000000000196e+02	5.498033030254388223e+02
1.782500000000000000e+02	3.100000000000000089e+00	2.690199999999999818e+02	5.276849999999999454e+02	5.801288746826587612e+02
1.780500000000000114e+02	3.080000000000000071e+00	2.691299999999999955e+02	5.311530000000000200e+02	5.821583012838556215e+02
1.685500000000000114e+02	2.209999999999999964e+00	2.783199999999999932e+02	6.786000000000000227e+02	6.805486459137009660e+02
1.631500000000000057e+02	1.800000000000000044e+00	2.818899999999999864e+02	2.815210000000000150e+02	7.385816433802034453e+02
1.626500000000000057e+02	1.729999999999999982e+00	2.838100000000000023e+02	2.834010000000000105e+02	7.431565022828456222e+02
1.614499999999999886e+02	1.689999999999999947e+00	2.827699999999999818e+02	7.764539999999999509e+02	7.573267380095910539e+02
1.531500000000000057e+02	1.199999999999999956e+00	2.857900000000000205e+02	8.825000000000000000e+02	7.814883147360358180e+02
1.506500000000000057e+02	1.070000000000000062e+00	2.862599999999999909e+02	2.859110000000000014e+02	8.126196184856072477e+02
1.481500000000000057e+02	9.599999999999999645e-01	2.865699999999999932e+02	9.431219999999999573e+02	8.428904993490292554e+02
1.904300000000000068e+02	4.580000000000000071e+00	2.090600000000000023e+02	2.207160000000000082e+02	3.134930914100378914e+02
1.904300000000000068e+02	4.580000000000000071e+00	2.177299999999999898e+02	2.207160000000000082e+02	3.134930914100378914e+02
1.902500000000000000e+02	4.559999999999999609e+00	2.244499999999999886e+02	2.478549999999999898e+02	3.151368767775914534e+02
1.902500000000000000e+02	4.559999999999999609e+00	2.271299999999999955e+02	2.478549999999999898e+02	3.151368767775914534e+02
1.881500000000000057e+02	4.269999999999999574e+00	3.141200000000000045e+02	3.222629999999999768e+02	3.347898339269210055e+02
1.881500000000000057e+02	4.269999999999999574e+00	3.141800000000000068e+02	3.222629999999999768e+02	3.347898339269210055e+02
1.859099999999999966e+02	3.979999999999999982e+00	3.742400000000000091e+02	3.790960000000000036e+02	3.606932983963960169e+02
1.781500000000000057e+02	3.089999999999999858e+00	5.283700000000000045e+02	5.294220000000000255e+02	4.543945596116515731e+02
1.707500000000000000e+02	2.390000000000000124e+00	6.464700000000000273e+02	2.761299999999999955e+02	5.476450594814465376e+02
1.631500000000000057e+02	1.800000000000000044e+00	7.541000000000000227e+02	2.815210000000000150e+02	6.467027411502391487e+02
