# Temperature (K)	Pressure (MPa)	Experimental(kJ/mol)	NIST(kJ/mol)	Model(kJ/mol)
1.300000000000000000e+02	5.000000000000000000e+00	5.667999999999999705e-01	1.141750000000000043e+00	1.797807065380645719e+00
1.400000000000000000e+02	5.000000000000000000e+00	1.150500000000000078e+00	1.720809999999999951e+00	2.573742411189883228e+00
1.500000000000000000e+02	5.000000000000000000e+00	1.758099999999999996e+00	2.320629999999999971e+00	2.475182859646901434e+00
1.600000000000000000e+02	5.000000000000000000e+00	2.397699999999999942e+00	2.951430000000000220e+00	3.291814243438807797e+00
1.700000000000000000e+02	5.000000000000000000e+00	3.089799999999999880e+00	3.633010000000000073e+00	3.789404909539260569e+00
1.800000000000000000e+02	5.000000000000000000e+00	3.888399999999999856e+00	4.414220000000000255e+00	4.166498957566069805e+00
1.850000000000000000e+02	5.000000000000000000e+00	4.368999999999999773e+00	4.888440000000000119e+00	5.258444937477822378e+00
1.900000000000000000e+02	5.000000000000000000e+00	5.034799999999999720e+00	5.535330000000000084e+00	5.340030391273311139e+00
1.500000000000000000e+02	3.200000000000000178e+00	6.100999999999999757e-01	2.303119999999999834e+00	2.846153411089871632e+00
1.600000000000000000e+02	3.200000000000000178e+00	1.269400000000000084e+00	2.953440000000000065e+00	4.084289832218754412e+00
1.700000000000000000e+02	3.200000000000000178e+00	1.997500000000000053e+00	3.676349999999999785e+00	4.417957817830694189e+00
1.750000000000000000e+02	3.200000000000000178e+00	2.435400000000000009e+00	4.092810000000000059e+00	3.995089402007520718e+00
9.981999999999999318e+01	3.400000000000000244e-01	0.000000000000000000e+00	-6.481959999999999944e-01	6.276312021037253608e-01
1.053700000000000045e+02	3.400000000000000244e-01	2.985999999999999766e-01	-3.436589999999999923e-01	2.295739312041968072e-01
1.109300000000000068e+02	3.400000000000000244e-01	6.008999999999999897e-01	-3.555090000000000333e-02	8.393041647459269505e-01
1.164800000000000040e+02	3.400000000000000244e-01	9.069000000000000394e-01	2.755270000000000219e-01	8.087781637878986851e-01
1.220400000000000063e+02	3.400000000000000244e-01	1.216599999999999904e+00	5.913249999999999895e-01	1.817212196456360340e+00
