# Temperature (K)	Pressure (MPa)	Experimental(kJ/mol)	NIST(kJ/mol)	Model(kJ/mol)
1.800000000000000000e+02	3.200000000000000178e+00	7.157000000000000028e+00	8.670930000000000248e+00	9.639799999999999258e+00
1.850000000000000000e+02	3.200000000000000178e+00	7.581699999999999662e+00	9.097229999999999706e+00	9.766666666666665719e+00
1.900000000000000000e+02	3.200000000000000178e+00	7.924500000000000099e+00	9.432550000000000878e+00	1.007889999999999908e+01
2.000000000000000000e+02	3.200000000000000178e+00	8.508300000000000196e+00	9.995900000000000674e+00	1.058893333333333331e+01
2.100000000000000000e+02	3.200000000000000178e+00	8.974099999999999966e+00	1.048949999999999960e+01	1.112639999999999851e+01
3.387099999999999795e+02	3.450000000000000178e+00	4.254000000000000004e-01	1.566549999999999976e+01	1.400873333333333193e+01
2.942599999999999909e+02	3.450000000000000178e+00	5.661000000000000476e-01	1.390900000000000070e+01	1.400873333333333193e+01
3.109300000000000068e+02	3.450000000000000178e+00	4.993000000000000216e-01	1.456509999999999927e+01	1.400873333333333193e+01
3.275899999999999750e+02	3.450000000000000178e+00	4.552999999999999825e-01	1.522330000000000005e+01	1.400873333333333193e+01
3.442599999999999909e+02	3.450000000000000178e+00	4.190999999999999726e-01	1.588739999999999952e+01	1.400873333333333193e+01
3.609300000000000068e+02	3.450000000000000178e+00	3.803000000000000269e-01	1.655930000000000035e+01	1.400873333333333193e+01
3.775899999999999750e+02	3.450000000000000178e+00	3.512000000000000122e-01	1.724060000000000059e+01	1.400873333333333193e+01
9.981999999999999318e+01	0.000000000000000000e+00	8.449299999999999145e+00	7.901449999999999640e+00	6.813433333333333231e+00
1.053700000000000045e+02	0.000000000000000000e+00	8.632099999999999440e+00	8.086130000000000706e+00	6.813433333333333231e+00
1.109300000000000068e+02	0.000000000000000000e+00	8.818699999999999761e+00	8.271160000000000068e+00	6.813433333333333231e+00
1.164800000000000040e+02	0.000000000000000000e+00	9.001599999999999824e+00	8.455859999999999488e+00	6.813433333333333231e+00
1.220400000000000063e+02	0.000000000000000000e+00	9.184499999999999886e+00	8.640900000000000247e+00	6.813433333333333231e+00
1.275900000000000034e+02	0.000000000000000000e+00	9.367300000000000182e+00	8.825620000000000687e+00	6.813433333333333231e+00
1.331500000000000057e+02	0.000000000000000000e+00	9.553900000000000503e+00	9.010690000000000310e+00	6.813433333333332342e+00
1.387100000000000080e+02	0.000000000000000000e+00	9.736800000000000566e+00	9.195790000000000575e+00	9.546499999999999986e+00
1.442599999999999909e+02	0.000000000000000000e+00	9.919700000000000628e+00	9.380570000000000519e+00	9.603733333333332567e+00
1.498199999999999932e+02	0.000000000000000000e+00	1.010260000000000069e+01	9.565720000000000667e+00	7.517499999999999183e+00
1.553700000000000045e+02	0.000000000000000000e+00	1.028919999999999924e+01	9.750569999999999737e+00	9.922166666666667467e+00
1.609300000000000068e+02	0.000000000000000000e+00	1.047199999999999953e+01	9.935810000000000031e+00	1.013239999999999874e+01
1.664799999999999898e+02	0.000000000000000000e+00	1.065489999999999959e+01	1.012079999999999913e+01	1.034013333333333229e+01
1.720399999999999920e+02	0.000000000000000000e+00	1.083779999999999966e+01	1.030620000000000047e+01	1.054420000000000002e+01
1.775900000000000034e+02	0.000000000000000000e+00	1.102439999999999998e+01	1.049140000000000050e+01	1.074696666666666722e+01
1.831500000000000057e+02	0.000000000000000000e+00	1.120720000000000027e+01	1.067699999999999960e+01	1.094723333333333493e+01
1.859300000000000068e+02	0.000000000000000000e+00	1.130049999999999955e+01	1.076989999999999981e+01	1.104919999999999902e+01
1.887100000000000080e+02	0.000000000000000000e+00	1.139380000000000059e+01	1.086280000000000001e+01	1.114626666666666743e+01
1.905900000000000034e+02	0.000000000000000000e+00	1.145730000000000004e+01	1.092559999999999931e+01	1.120723333333333471e+01
1.942599999999999909e+02	0.000000000000000000e+00	1.158039999999999914e+01	1.104840000000000089e+01	1.134409999999999918e+01
1.970399999999999920e+02	0.000000000000000000e+00	1.167370000000000019e+01	1.114150000000000063e+01	1.144483333333333341e+01
1.998199999999999932e+02	0.000000000000000000e+00	1.176699999999999946e+01	1.123460000000000036e+01	1.154186666666666561e+01
2.025900000000000034e+02	0.000000000000000000e+00	1.186030000000000051e+01	1.132750000000000057e+01	1.164386666666666770e+01
2.053700000000000045e+02	0.000000000000000000e+00	1.195359999999999978e+01	1.142070000000000007e+01	1.173966666666666647e+01
2.109300000000000068e+02	0.000000000000000000e+00	1.214020000000000010e+01	1.160749999999999993e+01	1.193623333333333392e+01
2.164799999999999898e+02	0.000000000000000000e+00	1.232680000000000042e+01	1.179429999999999978e+01	1.213150000000000084e+01
2.220399999999999920e+02	0.000000000000000000e+00	1.251340000000000074e+01	1.198179999999999978e+01	1.223226666666666596e+01
2.275900000000000034e+02	0.000000000000000000e+00	1.269999999999999929e+01	1.216929999999999978e+01	1.243260000000000076e+01
2.331500000000000057e+02	0.000000000000000000e+00	1.288659999999999961e+01	1.235779999999999923e+01	1.263409999999999833e+01
2.387100000000000080e+02	0.000000000000000000e+00	1.307319999999999993e+01	1.254669999999999952e+01	1.283440000000000047e+01
2.442599999999999909e+02	0.000000000000000000e+00	1.325980000000000025e+01	1.273590000000000089e+01	1.303216666666666690e+01
