# Temperature (K)	Pressure (MPa)	Experimental(m/s)	NIST(m/s)	Model(m/s)
2.981499999999999773e+02	2.379999999999999893e+00	4.419300000000000068e+02	4.420120000000000005e+02	4.474621871934885462e+02
1.930500000000000114e+02	7.800000000000000266e-01	3.531999999999999886e+02	3.532590000000000146e+02	4.063284581779330438e+02
1.930500000000000114e+02	1.560000000000000053e+00	3.406399999999999864e+02	3.407180000000000177e+02	4.025672369822264614e+02
1.930500000000000114e+02	2.240000000000000213e+00	3.286899999999999977e+02	3.288199999999999932e+02	3.746315623488840174e+02
1.930500000000000114e+02	2.819999999999999840e+00	3.177099999999999795e+02	3.177429999999999950e+02	3.920344322039072722e+02
1.930500000000000114e+02	3.310000000000000053e+00	3.075199999999999818e+02	3.074820000000000277e+02	3.455919858598213068e+02
1.930500000000000114e+02	3.700000000000000178e+00	2.982699999999999818e+02	2.984719999999999800e+02	3.147502152387677370e+02
1.930500000000000114e+02	4.030000000000000249e+00	2.899200000000000159e+02	2.899460000000000264e+02	2.770433883497211127e+02
1.930500000000000114e+02	4.280000000000000249e+00	2.823899999999999864e+02	2.825749999999999886e+02	2.707653523362251917e+02
1.930500000000000114e+02	4.480000000000000426e+00	2.756499999999999773e+02	2.756630000000000109e+02	2.626458728124154050e+02
1.908499999999999943e+02	4.530000000000000249e+00	2.561200000000000045e+02	2.568170000000000073e+02	2.466081857669609576e+02
1.906299999999999955e+02	4.509999999999999787e+00	2.552400000000000091e+02	2.560539999999999736e+02	2.478402357669609444e+02
1.905600000000000023e+02	4.509999999999999787e+00	2.549600000000000080e+02	2.551419999999999959e+02	2.478402357669609444e+02
1.905000000000000000e+02	7.700000000000000178e-01	3.505199999999999818e+02	3.505559999999999832e+02	4.025692073842823220e+02
1.905000000000000000e+02	1.540000000000000036e+00	3.376000000000000227e+02	3.375799999999999841e+02	4.016670984107979052e+02
1.905000000000000000e+02	2.200000000000000178e+00	3.252699999999999818e+02	3.253670000000000186e+02	3.727963428250745324e+02
1.905000000000000000e+02	2.759999999999999787e+00	3.138799999999999955e+02	3.139270000000000209e+02	3.648457505372405194e+02
1.905000000000000000e+02	3.229999999999999982e+00	3.032200000000000273e+02	3.032320000000000277e+02	3.647128671945975498e+02
1.905000000000000000e+02	3.600000000000000089e+00	2.935500000000000114e+02	2.937280000000000086e+02	3.451779724609899063e+02
1.905000000000000000e+02	3.899999999999999911e+00	2.846700000000000159e+02	2.848349999999999795e+02	2.851937784583258804e+02
1.905000000000000000e+02	4.129999999999999893e+00	2.765199999999999818e+02	2.766879999999999882e+02	2.709349569557119821e+02
1.905000000000000000e+02	4.299999999999999822e+00	2.690000000000000000e+02	2.691630000000000109e+02	2.624882312251140775e+02
1.905000000000000000e+02	4.419999999999999929e+00	2.617200000000000273e+02	2.621299999999999955e+02	2.650103821774949893e+02
1.905000000000000000e+02	4.500000000000000000e+00	2.546999999999999886e+02	2.554089999999999918e+02	2.513929792013043425e+02
1.904300000000000068e+02	4.490000000000000213e+00	2.544199999999999875e+02	2.555449999999999875e+02	2.535290464235265233e+02
1.904300000000000068e+02	4.540000000000000036e+00	2.461100000000000136e+02	2.487510000000000048e+02	2.466081857669609576e+02
1.902500000000000000e+02	4.290000000000000036e+00	2.683199999999999932e+02	2.681000000000000227e+02	2.626215245584473905e+02
1.902500000000000000e+02	4.400000000000000355e+00	2.609100000000000250e+02	2.613550000000000182e+02	2.645957701140029599e+02
1.902500000000000000e+02	4.480000000000000426e+00	2.536599999999999966e+02	2.542040000000000077e+02	2.544476505901931773e+02
1.902500000000000000e+02	4.519999999999999574e+00	2.449600000000000080e+02	2.483429999999999893e+02	2.546955055001796779e+02
1.896500000000000057e+02	3.859999999999999876e+00	2.828600000000000136e+02	2.829730000000000132e+02	2.884454582692307554e+02
1.896500000000000057e+02	4.080000000000000071e+00	2.745000000000000000e+02	2.746429999999999723e+02	2.738081824114773326e+02
1.896500000000000057e+02	4.250000000000000000e+00	2.666899999999999977e+02	2.663290000000000077e+02	2.645232282686203007e+02
1.896500000000000057e+02	4.360000000000000320e+00	2.589100000000000250e+02	2.588000000000000114e+02	2.615761854208145678e+02
1.896500000000000057e+02	4.419999999999999929e+00	2.510200000000000102e+02	2.526659999999999968e+02	2.623144231192272287e+02
1.896500000000000057e+02	4.459999999999999964e+00	2.405399999999999920e+02	2.455889999999999986e+02	2.582830223255764395e+02
1.881500000000000057e+02	7.600000000000000089e-01	3.480199999999999818e+02	3.480509999999999877e+02	4.111410279120879068e+02
1.881500000000000057e+02	1.510000000000000009e+00	3.347500000000000000e+02	3.348570000000000277e+02	4.125927942673455959e+02
1.881500000000000057e+02	2.160000000000000142e+00	3.220799999999999841e+02	3.221949999999999932e+02	4.021403632500294520e+02
1.881500000000000057e+02	2.709999999999999964e+00	3.103000000000000114e+02	3.102189999999999941e+02	3.673049959218559479e+02
1.881500000000000057e+02	3.149999999999999911e+00	2.992300000000000182e+02	2.993790000000000191e+02	4.022522409706959365e+02
1.881500000000000057e+02	3.509999999999999787e+00	2.890799999999999841e+02	2.891259999999999764e+02	3.571482256135529383e+02
1.881500000000000057e+02	3.790000000000000036e+00	2.796499999999999773e+02	2.795659999999999741e+02	2.954146375244199589e+02
1.881500000000000057e+02	3.990000000000000213e+00	2.708700000000000045e+02	2.709940000000000282e+02	2.865015083974358276e+02
1.881500000000000057e+02	4.139999999999999680e+00	2.623899999999999864e+02	2.623399999999999750e+02	2.693792417606837262e+02
1.881500000000000057e+02	4.230000000000000426e+00	2.534499999999999886e+02	2.546570000000000107e+02	2.637889722368742582e+02
1.831500000000000057e+02	7.399999999999999911e-01	3.426299999999999955e+02	3.426170000000000186e+02	4.485883585470086814e+02
1.831500000000000057e+02	1.459999999999999964e+00	3.286100000000000136e+02	3.286990000000000123e+02	4.701470507752821391e+02
1.831500000000000057e+02	2.080000000000000071e+00	3.151000000000000227e+02	3.151650000000000205e+02	4.693918335674898685e+02
1.831500000000000057e+02	2.589999999999999858e+00	3.024100000000000250e+02	3.023740000000000236e+02	4.084657310300810309e+02
1.831500000000000057e+02	2.990000000000000213e+00	2.903999999999999773e+02	2.905570000000000164e+02	4.512197739665890026e+02
1.831500000000000057e+02	3.310000000000000053e+00	2.791499999999999773e+02	2.789069999999999823e+02	4.174292955233655107e+02
1.831500000000000057e+02	3.540000000000000036e+00	2.683899999999999864e+02	2.678199999999999932e+02	3.990412726842600364e+02
1.731500000000000057e+02	6.899999999999999467e-01	3.315199999999999818e+02	3.315919999999999845e+02	5.838721684676436325e+02
1.731500000000000057e+02	1.360000000000000098e+00	3.158199999999999932e+02	3.158369999999999891e+02	5.891482006831846547e+02
1.731500000000000057e+02	1.909999999999999920e+00	3.004200000000000159e+02	3.005070000000000050e+02	5.992710373770137267e+02
1.731500000000000057e+02	2.339999999999999858e+00	2.857200000000000273e+02	2.856560000000000059e+02	5.650191603041844246e+02
1.631500000000000057e+02	6.500000000000000222e-01	3.198999999999999773e+02	3.198349999999999795e+02	6.255461409279608915e+02
1.631500000000000057e+02	1.260000000000000009e+00	3.022200000000000273e+02	3.020810000000000173e+02	6.898694623102061314e+02
1.631500000000000057e+02	1.739999999999999991e+00	2.846200000000000045e+02	2.842169999999999845e+02	7.300387212271064072e+02
1.531500000000000057e+02	5.999999999999999778e-01	3.077400000000000091e+02	3.077459999999999809e+02	8.379165915048839679e+02
1.431500000000000057e+02	5.600000000000000533e-01	2.948700000000000045e+02	2.945880000000000223e+02	9.141268353144072307e+02
1.900300000000000011e+02	4.519999999999999574e+00	2.297100000000000080e+02	2.400060000000000002e+02	2.596003343382172375e+02
1.899699999999999989e+02	4.519999999999999574e+00	2.300099999999999909e+02	2.600779999999999745e+02	2.596003343382172375e+02
1.896500000000000057e+02	4.469999999999999751e+00	2.359000000000000057e+02	2.683929999999999723e+02	2.618747726715507724e+02
1.896500000000000057e+02	4.469999999999999751e+00	2.359000000000000057e+02	2.683929999999999723e+02	2.618747726715507724e+02
1.886999999999999886e+02	4.339999999999999858e+00	2.461699999999999875e+02	3.039610000000000127e+02	2.747088001318682018e+02
1.885999999999999943e+02	4.330000000000000071e+00	2.459499999999999886e+02	3.087989999999999782e+02	2.752894422747252747e+02
1.875999999999999943e+02	4.190000000000000391e+00	2.512700000000000102e+02	2.521980000000000075e+02	2.796382598144078884e+02
1.874499999999999886e+02	4.169999999999999929e+00	2.512400000000000091e+02	2.526610000000000014e+02	2.808990591794872103e+02
1.860999999999999943e+02	3.990000000000000213e+00	2.561499999999999773e+02	2.565830000000000268e+02	2.965313748937729201e+02
1.841500000000000057e+02	3.750000000000000000e+00	2.605000000000000000e+02	2.602930000000000064e+02	3.289205529096459486e+02
1.839000000000000057e+02	3.729999999999999982e+00	2.603600000000000136e+02	4.222970000000000255e+02	3.330631806874236531e+02
1.831500000000000057e+02	3.640000000000000124e+00	2.617099999999999795e+02	4.374060000000000059e+02	3.732664149947831334e+02
1.742500000000000000e+02	2.700000000000000178e+00	2.736800000000000068e+02	2.730609999999999786e+02	4.736449755250307021e+02
1.739499999999999886e+02	2.680000000000000160e+00	2.736399999999999864e+02	5.979740000000000464e+02	4.777511755250306464e+02
