# Temperature (K)	Pressure (MPa)	Experimental(uPas)	NIST(uPas)	Model(uPas)
2.929599999999999795e+02	3.400000000000000244e-01	1.092600000000000016e+01	1.093950000000000067e+01	1.101518946253681008e+01
2.970799999999999841e+02	3.400000000000000244e-01	1.106199999999999939e+01	1.107300000000000040e+01	1.116670291990656771e+01
3.238600000000000136e+02	3.400000000000000244e-01	1.191399999999999970e+01	1.192430000000000057e+01	1.195611771868093776e+01
3.505500000000000114e+02	3.400000000000000244e-01	1.273499999999999943e+01	1.274559999999999960e+01	1.276079180268289193e+01
3.781499999999999773e+02	3.400000000000000244e-01	1.356199999999999939e+01	1.356850000000000023e+01	1.354992904769439477e+01
4.058799999999999955e+02	3.400000000000000244e-01	1.436500000000000021e+01	1.437010000000000076e+01	1.434531446829265633e+01
4.338299999999999841e+02	3.400000000000000244e-01	1.514899999999999913e+01	1.515450000000000053e+01	1.512646512030709722e+01
4.618500000000000227e+02	3.400000000000000244e-01	1.591200000000000081e+01	1.591869999999999941e+01	1.587830612226053795e+01
4.901299999999999955e+02	3.400000000000000244e-01	1.666300000000000026e+01	1.666929999999999978e+01	1.664534742445215443e+01
5.188300000000000409e+02	3.400000000000000244e-01	1.739799999999999969e+01	1.741130000000000067e+01	1.736728531720746460e+01
5.426000000000000227e+02	3.400000000000000244e-01	1.799599999999999866e+01	1.801180000000000092e+01	1.794766017002289260e+01
5.653799999999999955e+02	3.400000000000000244e-01	1.856400000000000006e+01	1.857620000000000005e+01	1.857989350609740598e+01
5.940800000000000409e+02	3.400000000000000244e-01	1.926099999999999923e+01	1.927260000000000062e+01	1.961952656916271209e+01
6.233300000000000409e+02	3.400000000000000244e-01	1.995299999999999940e+01	1.996679999999999922e+01	1.924283059429354736e+01
2.919300000000000068e+02	3.400000000000000244e-01	1.089100000000000001e+01	1.090600000000000058e+01	1.083695144050429349e+01
2.964300000000000068e+02	3.400000000000000244e-01	1.102899999999999991e+01	1.105199999999999960e+01	1.101096691421117946e+01
2.890500000000000114e+02	3.400000000000000244e-01	1.081300000000000061e+01	1.081209999999999916e+01	1.075828200050489691e+01
2.965699999999999932e+02	3.400000000000000244e-01	1.104800000000000004e+01	1.105649999999999977e+01	1.100107691067893079e+01
3.234300000000000068e+02	3.400000000000000244e-01	1.188599999999999923e+01	1.191080000000000005e+01	1.198033165356126339e+01
3.506399999999999864e+02	3.400000000000000244e-01	1.272499999999999964e+01	1.274830000000000041e+01	1.276309311807769475e+01
3.782500000000000000e+02	3.400000000000000244e-01	1.355199999999999960e+01	1.357140000000000057e+01	1.355494481526320527e+01
4.060299999999999727e+02	3.400000000000000244e-01	1.435999999999999943e+01	1.437439999999999962e+01	1.435051966828333647e+01
