# Temperature (K)	Pressure (MPa)	Experimental(K/MPa)	NIST(K/MPa)	Model(K/MPa)
2.931499999999999773e+02	5.171000000000000263e+00	4.049999999999999822e+00	4.125619999999999621e+00	5.187554836273193359e+00
2.931499999999999773e+02	6.894999999999999574e+00	3.850000000000000089e+00	3.905740000000000212e+00	5.012418746948242188e+00
2.931499999999999773e+02	8.618000000000000327e+00	3.569999999999999840e+00	3.640870000000000051e+00	4.792975425720214844e+00
2.931499999999999773e+02	1.034200000000000053e+01	3.279999999999999805e+00	3.337079999999999824e+00	4.568299293518066406e+00
3.109300000000000068e+02	5.171000000000000263e+00	3.609999999999999876e+00	3.628989999999999938e+00	3.987107515335083008e+00
3.109300000000000068e+02	6.894999999999999574e+00	3.419999999999999929e+00	3.445679999999999854e+00	3.812614202499389648e+00
3.109300000000000068e+02	8.618000000000000327e+00	3.180000000000000160e+00	3.233950000000000102e+00	3.583018541336059570e+00
3.109300000000000068e+02	1.034200000000000053e+01	2.910000000000000142e+00	2.997549999999999937e+00	3.356046676635742188e+00
3.271499999999999773e+02	5.171000000000000263e+00	3.209999999999999964e+00	3.239329999999999821e+00	3.372749090194702148e+00
3.271499999999999773e+02	6.894999999999999574e+00	3.029999999999999805e+00	3.081280000000000019e+00	3.196363925933837891e+00
3.271499999999999773e+02	8.618000000000000327e+00	2.810000000000000053e+00	2.903919999999999835e+00	2.962997674942016602e+00
3.271499999999999773e+02	1.034200000000000053e+01	2.549999999999999822e+00	2.709799999999999986e+00	2.732820987701416016e+00
3.421499999999999773e+02	5.171000000000000263e+00	2.859999999999999876e+00	2.923280000000000101e+00	3.198379039764404297e+00
3.421499999999999773e+02	6.894999999999999574e+00	2.689999999999999947e+00	2.784009999999999874e+00	3.020339012145996094e+00
3.421499999999999773e+02	8.618000000000000327e+00	2.479999999999999982e+00	2.630970000000000031e+00	2.785089969635009766e+00
3.421499999999999773e+02	1.034200000000000053e+01	2.259999999999999787e+00	2.465990000000000126e+00	2.548163414001464844e+00
3.661499999999999773e+02	5.171000000000000263e+00	2.560000000000000053e+00	2.490349999999999842e+00	2.887226343154907227e+00
3.661499999999999773e+02	6.894999999999999574e+00	2.410000000000000142e+00	2.374830000000000219e+00	2.706847429275512695e+00
3.661499999999999773e+02	8.618000000000000327e+00	2.209999999999999964e+00	2.251059999999999839e+00	2.470714569091796875e+00
3.661499999999999773e+02	1.034200000000000053e+01	1.989999999999999991e+00	2.120190000000000019e+00	2.231538534164428711e+00
3.931499999999999773e+02	5.171000000000000263e+00	2.299999999999999822e+00	2.089690000000000047e+00	2.628789901733398438e+00
3.931499999999999773e+02	6.894999999999999574e+00	2.160000000000000142e+00	1.994459999999999900e+00	2.448273420333862305e+00
3.931499999999999773e+02	8.618000000000000327e+00	1.969999999999999973e+00	1.894479999999999942e+00	2.203284263610839844e+00
3.931499999999999773e+02	1.034200000000000053e+01	1.770000000000000018e+00	1.790459999999999940e+00	1.965988039970397949e+00
3.118600000000000136e+02	5.065999999999999837e+00	3.959999999999999964e+00	3.615270000000000206e+00	3.528957366943359375e+00
3.118600000000000136e+02	6.078000000000000291e+00	4.009999999999999787e+00	3.513149999999999995e+00	3.791750669479370117e+00
3.118600000000000136e+02	7.089000000000000412e+00	4.030000000000000249e+00	3.401219999999999910e+00	4.144230365753173828e+00
3.118600000000000136e+02	8.102000000000000313e+00	4.059999999999999609e+00	3.279479999999999951e+00	4.330976963043212891e+00
2.680000000000000000e+02	5.065999999999999837e+00	5.719999999999999751e+00	5.005959999999999965e+00	5.520531654357910156e+00
2.680000000000000000e+02	6.078000000000000291e+00	5.839999999999999858e+00	4.843820000000000014e+00	5.730839252471923828e+00
2.680000000000000000e+02	7.089000000000000412e+00	5.969999999999999751e+00	4.648799999999999599e+00	6.450595855712890625e+00
2.680000000000000000e+02	8.102000000000000313e+00	6.049999999999999822e+00	4.420270000000000366e+00	6.420972824096679688e+00
2.485399999999999920e+02	5.065999999999999837e+00	6.980000000000000426e+00	5.860409999999999897e+00	6.580595970153808594e+00
2.485399999999999920e+02	6.078000000000000291e+00	7.150000000000000355e+00	5.641530000000000378e+00	5.942250251770019531e+00
2.485399999999999920e+02	7.089000000000000412e+00	7.320000000000000284e+00	5.356300000000000061e+00	6.080500602722167969e+00
2.485399999999999920e+02	8.102000000000000313e+00	7.450000000000000178e+00	5.001940000000000275e+00	6.095131397247314453e+00
